Invoice ID,Branch,City,Customer type,Customer_name,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,,Male,Female
750-67-8428,A,Ahmedabad,Member,Naina Rajput,Female,Health and beauty,74.69,7,26.1415,548.9715,2017-04-22,21:42:09,Ewallet,522.83,4.761904762,26.1415,9.1,,Ishaan Kumar,Naina Rajput
846-82-9845,A,Agra,Normal,Nupur Singh,Female,Sports and travel,76.07,2,7.607,159.747,2023-12-31,11:05:41,Cash,152.14,4.761904762,7.607,1.5,,Nishant Verma,Devanshi Tiwari
264-18-7794,C,Bhopal,Normal,Omkar Chauhan,Male,Health and beauty,38.54,6,11.562,242.802,2019-11-17,04:36:18,Credit Card,231.24,4.761904762,11.562,6,,Yash Patel,Gitanjali Sharma
506-56-3273,E,Kolkata,Member,Aditi Singh,Female,Food and beverages,66.31,9,29.8395,626.6295,2015-03-17,00:43:11,Credit Card,596.79,4.761904762,29.8395,5.3,,Inder Rajput,Farah Joshi
385-55-5202,C,Lucknow,Member,Zaina Chauhan,Female,Home and lifestyle,77.16,8,30.864,648.144,2023-10-01,04:26:41,Cash,617.28,4.761904762,30.864,2.2,,Omkar Chauhan,Aaradhya Yadav
283-91-7199,D,Lucknow,Normal,Deepesh Verma,Male,Health and beauty,61.76,1,3.088,64.848,2021-12-15,11:38:07,Walmart Gift Cards,61.76,4.761904762,3.088,8,,Jai Kapoor,Naina Rajput
811-96-3991,D,Surat,Normal,Dheeraj Yadav,Male,Health and beauty,82.63,6,24.789,520.569,2019-03-08,18:56:21,Cash,495.78,4.761904762,24.789,7.5,,Amar Singh,Mahira Verma
628-69-5557,C,Surat,Normal,Aryan Gupta,Male,Sports and travel,89.01,3,13.3515,280.3815,2019-08-02,06:59:56,Walmart Gift Cards,267.03,4.761904762,13.3515,2.5,,Jai Kapoor,Nitya Yadav
156-17-3039,C,Nagpur,Member,Prakash Sahu,Male,Books,32.44,10,16.22,340.62,2015-10-17,20:55:01,Walmart Gift Cards,324.4,4.761904762,16.22,5.6,,Kunal Gupta,Bhoomi Tiwari
832-47-5408,B,Vadodara,Member,Kashvi Rajput,Female,Electronic accessories,48.04,2,4.804,100.884,2019-07-26,15:59:32,Ewallet,96.08,4.761904762,4.804,9.4,,Aditya Singh,Anushka Yadav
193-72-7164,A,Nagpur,Member,Riddhi Verma,Female,Sports and travel,51.5,9,23.175,486.675,2019-11-28,01:05:10,Ewallet,463.5,4.761904762,23.175,1.1,,Farhan Khan,Anushka Yadav
486-03-9807,E,Lucknow,Normal,Gauri Singh,Female,Electronic accessories,29.54,8,11.816,248.136,2016-12-05,14:40:19,Cash,236.32,4.761904762,11.816,4.3,,Tanuj Mehta,Jhanvi Mehta
436-33-4818,D,Mumbai,Normal,Aditi Singh,Female,Electronic accessories,38.57,3,5.7855,121.4955,2020-03-15,18:31:13,Ewallet,115.71,4.761904762,5.7855,3.3,,Uday Sahu,Aashi Mehta
269-32-4854,E,Surat,Member,Sanika Verma,Female,Books,66.93,7,23.4255,491.9355,2020-09-06,07:52:33,Ewallet,468.51,4.761904762,23.4255,1.7,,Aditya Singh,Divisha Kapoor
439-59-3630,E,Chandigarh,Member,Sanika Verma,Female,Clothing,80.25,3,12.0375,252.7875,2023-03-11,18:57:00,Ewallet,240.75,4.761904762,12.0375,4.5,,Faisal Khan,Jiya Sahu
137-24-1872,B,New Delhi,Member,Manoj Sharma,Male,Books,68.64,6,20.592,432.432,2019-03-23,09:50:56,Walmart Gift Cards,411.84,4.761904762,20.592,7.7,,Faisal Khan,Rithika Joshi
752-63-9511,B,Pune,Member,Bhavya Tiwari,Female,Sports and travel,60.01,8,24.004,504.084,2015-05-22,23:41:05,Ewallet,480.08,4.761904762,24.004,5.7,,Inder Rajput,Farah Joshi
141-44-8538,D,Nagpur,Member,Elina Chauhan,Female,Sports and travel,97.47,2,9.747,204.687,2019-03-28,05:42:47,Ewallet,194.94,4.761904762,9.747,2.6,,Karan Joshi,Aditi Singh
655-88-8361,A,Kolkata,Member,Pari Chauhan,Female,Books,11.55,5,2.8875,60.6375,2016-11-03,03:53:26,Ewallet,57.75,4.761904762,2.8875,9.1,,Tejas Joshi,Sanika Verma
378-24-9629,C,Bangalore,Member,Parth Kapoor,Male,Electronic accessories,72.72,4,14.544,305.424,2019-11-20,17:40:04,Cash,290.88,4.761904762,14.544,7.3,,Akash Sharma,Saanvi Kumar
368-70-8670,D,Bhopal,Member,Amar Singh,Male,Electronic accessories,36.91,3,5.5365,116.2665,2020-07-30,14:08:46,Credit Card,110.73,4.761904762,5.5365,4.4,,Nishant Verma,Trisha Khan
311-56-4106,D,Lucknow,Normal,Tanya Rajput,Female,Electronic accessories,68.5,3,10.275,215.775,2016-05-20,12:29:33,Walmart Gift Cards,205.5,4.761904762,10.275,9.1,,Nishant Verma,Bela Yadav
193-26-9023,A,Pune,Member,Tejas Joshi,Male,Sports and travel,63.98,3,9.597,201.537,2021-10-17,08:14:09,Cash,191.94,4.761904762,9.597,4.2,,Omkar Mehta,Urvashi Joshi
361-61-6243,B,Nashik,Normal,Qamar Yadav,Female,Home and lifestyle,98.06,2,9.806,205.926,2021-07-02,23:25:48,Cash,196.12,4.761904762,9.806,9.6,,Lokesh Tiwari,Jigyasa Verma
247-16-9975,D,New Delhi,Normal,Karthik Kapoor,Male,Food and beverages,56.6,3,8.49,178.29,2018-07-06,03:53:25,Credit Card,169.8,4.761904762,8.49,3.8,,Imran Khan,Tanya Rajput
613-07-3232,A,Mumbai,Member,Ekta Joshi,Female,Books,62.1,1,3.105,65.205,2018-01-27,22:15:50,Walmart Gift Cards,62.1,4.761904762,3.105,7.9,,Karan Joshi,Saisha Khan
605-57-8875,E,Pune,Normal,Bhavika Kapoor,Female,Books,41.72,8,16.688,350.448,2015-09-01,10:57:17,Walmart Gift Cards,333.76,4.761904762,16.688,5.7,,Mohan Patel,Kashish Kapoor
808-20-2415,C,Nashik,Normal,Chandni Joshi,Female,Electronic accessories,22.12,10,11.06,232.26,2017-11-16,20:00:54,Walmart Gift Cards,221.2,4.761904762,11.06,3.5,,Prakash Sahu,Divisha Kapoor
254-78-8181,D,Bhopal,Normal,Hitesh Yadav,Male,Electronic accessories,50.25,3,7.5375,158.2875,2018-01-31,08:52:10,Cash,150.75,4.761904762,7.5375,4.8,,Parth Kapoor,Sanika Verma
192-76-0568,E,Ahmedabad,Member,Oviya Sharma,Female,Books,92.55,10,46.275,971.775,2018-08-11,08:17:37,Ewallet,925.5,4.761904762,46.275,7,,Ujjwal Gupta,Aashi Mehta
561-32-1190,C,Surat,Member,Qamar Yadav,Female,Food and beverages,62.59,5,15.6475,328.5975,2022-08-08,14:25:58,Credit Card,312.95,4.761904762,15.6475,10,,Hitesh Yadav,Bhavika Kapoor
855-32-3465,B,Kochi,Member,Vikrant Tiwari,Male,Sports and travel,46.24,5,11.56,242.76,2019-12-13,04:24:46,Credit Card,231.2,4.761904762,11.56,8.8,,Gagan Singh,Ishana Sharma
693-38-8067,D,Nashik,Member,Myra Patel,Female,Home and lifestyle,42.44,6,12.732,267.372,2018-05-06,17:58:37,Credit Card,254.64,4.761904762,12.732,9.1,,Lalit Yadav,Ojasvi Tiwari
589-24-3362,B,Chandigarh,Normal,Oorja Gupta,Female,Electronic accessories,70.7,1,3.535,74.235,2018-03-27,15:42:48,Ewallet,70.7,4.761904762,3.535,7.6,,Gaurav Tiwari,Rithika Joshi
630-68-3182,B,Bangalore,Normal,Ginni Gupta,Female,Clothing,27.67,6,8.301,174.321,2020-05-23,00:04:42,Cash,166.02,4.761904762,8.301,2.8,,Manoj Sharma,Aditi Singh
844-07-8904,C,Chennai,Normal,Trisha Khan,Female,Food and beverages,32.63,6,9.789,205.569,2016-11-28,07:23:47,Cash,195.78,4.761904762,9.789,5.7,,Zeeshan Patel,Elina Chauhan
751-81-1768,D,Vishakhapatnam,Member,Tarun Kumar,Male,Home and lifestyle,88.15,5,22.0375,462.7875,2021-10-27,04:55:49,Credit Card,440.75,4.761904762,22.0375,2.2,,Arnav Patel,Vanya Gupta
567-92-6823,C,Agra,Member,Ginni Gupta,Female,Home and lifestyle,68.69,6,20.607,432.747,2019-04-13,20:05:17,Credit Card,412.14,4.761904762,20.607,6.6,,Zeeshan Patel,Trisha Khan
960-19-7192,C,Nagpur,Normal,Nupur Singh,Female,Health and beauty,15.13,6,4.539,95.319,2018-08-08,02:00:35,Credit Card,90.78,4.761904762,4.539,2.7,,Omkar Chauhan,Eesha Verma
160-41-8198,E,Chennai,Member,Dia Mehta,Female,Clothing,72.6,9,32.67,686.07,2018-04-02,22:20:46,Ewallet,653.4,4.761904762,32.67,8.2,,Ishaan Kumar,Jia Kapoor
164-87-5343,B,Agra,Normal,Sagar Mehta,Male,Clothing,66.05,10,33.025,693.525,2015-08-18,06:36:00,Credit Card,660.5,4.761904762,33.025,9,,Mohan Patel,Hetal Patel
209-09-8909,A,Vishakhapatnam,Member,Zoya Gupta,Female,Home and lifestyle,35.21,10,17.605,369.705,2020-01-03,12:39:17,Walmart Gift Cards,352.1,4.761904762,17.605,5.6,,Siddharth Reddy,Chetana Sahu
364-41-2612,A,Bangalore,Normal,Inder Rajput,Male,Electronic accessories,12.75,6,3.825,80.325,2023-10-15,20:20:45,Credit Card,76.5,4.761904762,3.825,5.2,,Lalit Yadav,Jigyasa Verma
409-43-7952,A,New Delhi,Normal,Naveen Sharma,Male,Electronic accessories,52.28,2,5.228,109.788,2021-06-24,09:55:08,Cash,104.56,4.761904762,5.228,3.9,,Arnav Patel,Gargi Kapoor
234-13-7316,A,Vishakhapatnam,Member,Javed Khan,Male,Health and beauty,39.06,9,17.577,369.117,2019-01-15,01:58:41,Ewallet,351.54,4.761904762,17.577,7.1,,Lalit Yadav,Divya Chauhan
724-80-2835,A,Kochi,Member,Pranav Rajput,Male,Sports and travel,97.41,2,9.741,204.561,2016-10-03,01:04:50,Cash,194.82,4.761904762,9.741,6.1,,Ishaan Kumar,Queenie Sharma
309-36-1723,A,Vadodara,Normal,Tanuj Mehta,Male,Health and beauty,28.74,3,4.311,90.531,2023-04-07,08:38:35,Ewallet,86.22,4.761904762,4.311,1.2,,Pradeep Chauhan,Ishaani Sahu
620-47-2132,B,Kolkata,Normal,Ananya Patel,Female,Food and beverages,16.67,8,6.668,140.028,2018-08-09,10:44:28,Ewallet,133.36,4.761904762,6.668,3.3,,Nitin Singh,Bhoomi Tiwari
612-26-4428,D,Kochi,Normal,Aashi Mehta,Female,Books,53.33,1,2.6665,55.9965,2022-02-27,01:22:17,Cash,53.33,4.761904762,2.6665,8.7,,Armaan Khan,Urvi Khan
262-25-3324,B,Pune,Member,Lokesh Tiwari,Male,Sports and travel,51.44,9,23.148,486.108,2023-09-30,07:25:21,Credit Card,462.96,4.761904762,23.148,3.4,,Kaushal Yadav,Zoya Gupta
536-13-7790,E,Ahmedabad,Normal,Jatin Chauhan,Male,Health and beauty,17.8,4,3.56,74.76,2021-09-26,05:47:53,Ewallet,71.2,4.761904762,3.56,7.1,,Mukesh Kumar,Qamar Yadav
951-72-8623,C,Hyderabad,Normal,Risha Joshi,Female,Books,82.82,5,20.705,434.805,2020-07-21,14:30:01,Credit Card,414.1,4.761904762,20.705,5.8,,Sunil Verma,Nitya Yadav
677-87-7441,D,Pune,Member,Farhan Khan,Male,Sports and travel,54.35,3,8.1525,171.2025,2019-03-08,21:33:30,Credit Card,163.05,4.761904762,8.1525,4.7,,Imran Khan,Chhavi Chauhan
436-81-7922,A,Indore,Normal,Kanika Singh,Female,Books,30.04,3,4.506,94.626,2017-04-23,22:33:09,Credit Card,90.12,4.761904762,4.506,5,,Siddharth Reddy,Megha Kapoor
474-56-4372,D,Jaipur,Member,Jai Kapoor,Male,Food and beverages,70.04,2,7.004,147.084,2023-01-30,01:15:45,Credit Card,140.08,4.761904762,7.004,6,,Hitesh Yadav,Rithika Joshi
187-54-1131,C,Bhopal,Normal,Upasana Yadav,Female,Clothing,38.2,9,17.19,360.99,2019-03-20,02:46:46,Credit Card,343.8,4.761904762,17.19,6.5,,Mukesh Kumar,Kanika Singh
230-98-2804,A,Ahmedabad,Normal,Mukesh Kumar,Male,Health and beauty,24.82,3,3.723,78.183,2021-03-20,23:32:46,Cash,74.46,4.761904762,3.723,3.7,,Keshav Sharma,Vanya Gupta
425-96-2503,B,Surat,Normal,Bhoomi Tiwari,Female,Sports and travel,52.1,5,13.025,273.525,2021-04-01,06:38:52,Walmart Gift Cards,260.5,4.761904762,13.025,7.3,,Kunal Gupta,Divya Chauhan
326-71-9349,B,Kolkata,Normal,Bhoomi Tiwari,Female,Electronic accessories,73.75,8,29.5,619.5,2022-12-17,03:40:57,Cash,590,4.761904762,29.5,8.1,,Chetan Kumar,Dia Mehta
798-74-7784,C,Surat,Normal,Aanya Sharma,Female,Books,80.8,3,12.12,254.52,2019-10-01,08:40:45,Walmart Gift Cards,242.4,4.761904762,12.12,8,,Bhushan Sharma,Jia Kapoor
420-44-3158,C,Kochi,Member,Bela Yadav,Female,Electronic accessories,12.27,7,4.2945,90.1845,2016-01-21,09:12:32,Cash,85.89,4.761904762,4.2945,2.9,,Zayd Khan,Jigyasa Verma
147-06-4439,B,Mumbai,Member,Bhavya Tiwari,Female,Health and beauty,46.38,2,4.638,97.398,2020-06-26,00:26:26,Walmart Gift Cards,92.76,4.761904762,4.638,1.1,,Tushar Sahu,Upasana Yadav
657-98-7806,C,Chandigarh,Member,Fatima Joshi,Female,Health and beauty,68.88,3,10.332,216.972,2017-07-01,03:06:06,Ewallet,206.64,4.761904762,10.332,2.7,,Nitin Singh,Tithira Kapoor
167-27-3365,C,Hyderabad,Normal,Sagar Mehta,Male,Sports and travel,13.48,6,4.044,84.924,2023-07-29,14:45:00,Credit Card,80.88,4.761904762,4.044,8.7,,Kunal Gupta,Yashi Kapoor
774-41-2835,B,Vadodara,Member,Zayd Khan,Male,Health and beauty,45.45,4,9.09,190.89,2019-05-15,23:29:27,Walmart Gift Cards,181.8,4.761904762,9.09,9.3,,Neeraj Singh,Falak Patel
236-62-6036,A,Hyderabad,Member,Mahira Verma,Female,Sports and travel,48.39,7,16.9365,355.6665,2020-01-18,15:44:49,Ewallet,338.73,4.761904762,16.9365,8.6,,Gopal Tiwari,Ria Singh
719-35-2701,E,Vishakhapatnam,Member,Jigyasa Verma,Female,Electronic accessories,17.11,1,0.8555,17.9655,2018-03-13,03:38:37,Cash,17.11,4.761904762,0.8555,8.8,,Pradeep Chauhan,Pihu Gupta
759-68-3936,D,Chennai,Normal,Tejas Joshi,Male,Health and beauty,76.17,6,22.851,479.871,2015-05-19,17:56:52,Credit Card,457.02,4.761904762,22.851,8.9,,Tushar Sahu,Naina Rajput
742-26-1677,A,Indore,Normal,Imran Khan,Male,Home and lifestyle,48,3,7.2,151.2,2021-09-17,14:00:33,Walmart Gift Cards,144,4.761904762,7.2,4.7,,Vivek Yadav,Gauri Singh
246-17-4133,B,Mumbai,Normal,Devanshi Tiwari,Female,Electronic accessories,67.53,3,10.1295,212.7195,2015-02-06,22:23:16,Credit Card,202.59,4.761904762,10.1295,5.3,,Amar Singh,Qiana Tiwari
738-79-2810,B,Jaipur,Member,Tanuj Mehta,Male,Books,86.31,10,43.155,906.255,2021-05-23,17:06:22,Walmart Gift Cards,863.1,4.761904762,43.155,6.9,,Rajveer Gupta,Anika Patel
471-29-9018,B,Kolkata,Normal,Arnav Patel,Male,Home and lifestyle,76.06,6,22.818,479.178,2021-04-08,18:18:12,Walmart Gift Cards,456.36,4.761904762,22.818,6.4,,Deepesh Verma,Pihu Gupta
172-23-3651,A,Lucknow,Normal,Gitanjali Sharma,Female,Food and beverages,14.36,8,5.744,120.624,2020-05-31,23:46:36,Cash,114.88,4.761904762,5.744,2.3,,Bhushan Sharma,Ira Kumar
971-01-1380,E,Chennai,Normal,Nitya Yadav,Female,Clothing,69.04,4,13.808,289.968,2020-08-07,01:56:38,Ewallet,276.16,4.761904762,13.808,7.9,,Vivek Yadav,Upasana Yadav
461-94-2127,A,Ahmedabad,Member,Riddhi Verma,Female,Electronic accessories,61.32,1,3.066,64.386,2019-01-23,00:10:56,Cash,61.32,4.761904762,3.066,5.2,,Farhan Khan,Mahira Verma
652-38-7763,B,Nashik,Normal,Prakash Sahu,Male,Health and beauty,27.72,3,4.158,87.318,2015-04-25,04:42:01,Cash,83.16,4.761904762,4.158,3.7,,Raghav Patel,Eshita Singh
342-93-3885,C,Agra,Normal,Hira Gupta,Female,Electronic accessories,18.01,10,9.005,189.105,2021-12-03,19:25:54,Walmart Gift Cards,180.1,4.761904762,9.005,2.7,,Zeeshan Patel,Charvi Verma
