Invoice ID,Branch,City,Customer type,Customer_name,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Male,Female
750-67-8428,A,Ahmedabad,Member,Bhoomi Tiwari,Female,Health and beauty,74.69,7,26.1415,548.9715,2021-09-24,08:49:42,Ewallet,522.83,4.761904762,26.1415,9.1,Tarun Kumar,Aditi Singh
350-32-2276,E,Nashik,Normal,Jia Kapoor,Female,Sports and travel,69.73,1,3.4865,73.2165,2016-11-20,13:16:47,Cash,69.73,4.761904762,3.4865,7.3,Ravi Patel,Jia Kapoor
874-67-9437,B,Pune,Member,Ginni Gupta,Female,Clothing,41.43,9,18.6435,391.5135,2017-04-02,20:55:24,Credit Card,372.87,4.761904762,18.6435,1.2,Tarun Kumar,Upasana Yadav
969-74-2619,E,Lucknow,Member,Zaina Chauhan,Female,Food and beverages,37.7,3,5.655,118.755,2017-06-17,01:01:09,Credit Card,113.1,4.761904762,5.655,6.3,Vivek Yadav,Tanya Rajput
298-56-9315,E,Bhopal,Normal,Yogesh Mehta,Male,Clothing,16.01,3,2.4015,50.4315,2023-01-01,09:15:18,Credit Card,48.03,4.761904762,2.4015,5.8,Siddharth Reddy,Anika Patel
753-12-7607,B,Mumbai,Normal,Rajveer Gupta,Male,Food and beverages,35.68,6,10.704,224.784,2022-06-20,16:54:01,Walmart Gift Cards,214.08,4.761904762,10.704,5.4,Chirag Kapoor,Ira Kumar
294-08-2783,C,Bangalore,Member,Lavisha Kapoor,Female,Clothing,16.76,6,5.028,105.588,2019-02-25,12:32:59,Cash,100.56,4.761904762,5.028,3.9,Raghav Patel,Riddhi Verma
819-99-5613,D,Bhopal,Normal,Hina Gupta,Female,Home and lifestyle,32.93,10,16.465,345.765,2017-01-23,07:13:57,Ewallet,329.3,4.761904762,16.465,5.6,Ishaan Kumar,Ria Singh
868-34-3866,A,Kolkata,Normal,Zoya Gupta,Female,Home and lifestyle,11.42,6,3.426,71.946,2022-02-28,05:16:52,Credit Card,68.52,4.761904762,3.426,2.5,Utkarsh Yadav,Ishaani Sahu
504-36-2626,D,Agra,Member,Bhavna Sharma,Female,Food and beverages,18.45,9,8.3025,174.3525,2019-08-05,19:00:28,Ewallet,166.05,4.761904762,8.3025,1.9,Utkarsh Yadav,Parina Patel
901-83-5718,E,Ahmedabad,Normal,Lalit Yadav,Male,Electronic accessories,65.5,10,32.75,687.75,2018-06-16,00:32:26,Cash,655,4.761904762,32.75,2.9,Arjun Patel,Zara Tiwari
126-86-7988,B,Chennai,Normal,Anushka Yadav,Female,Food and beverages,84.17,5,21.0425,441.8925,2018-03-08,03:16:22,Ewallet,420.85,4.761904762,21.0425,1.4,Deepak Verma,Prisha Khan
813-43-9654,A,Chennai,Normal,Mahira Verma,Female,Health and beauty,72.43,6,21.729,456.309,2020-10-06,19:01:14,Cash,434.58,4.761904762,21.729,8.1,Eshan Verma,Mahira Verma
353-14-5089,C,Hyderabad,Normal,Arnav Patel,Male,Books,18.13,4,3.626,76.146,2023-10-11,11:00:09,Walmart Gift Cards,72.52,4.761904762,3.626,5.1,Sahil Gupta,Eshita Singh
914-81-8402,C,Kochi,Normal,Ujala Kapoor,Female,Books,87.47,4,17.494,367.374,2016-12-19,13:04:55,Credit Card,349.88,4.761904762,17.494,9,Dheeraj Yadav,Gitanjali Sharma
776-57-9584,D,Bhopal,Normal,Fatima Joshi,Female,Food and beverages,66.47,1,3.3235,69.7935,2019-08-24,03:15:54,Ewallet,66.47,4.761904762,3.3235,5.3,Aryan Gupta,Kashish Kapoor
254-96-0618,A,Bhopal,Member,Lavina Yadav,Female,Home and lifestyle,11.8,7,4.13,86.73,2019-06-15,20:48:07,Credit Card,82.6,4.761904762,4.13,3,Zeeshan Patel,Pari Chauhan
